Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1937,1,Sun,UNK,27,PHI,14,September 5,H,0,0,0,0
1937,1,Fri,PHI,7,UNK,13,September 10,A,0,0,0,0
1937,1,Fri,UNK,0,DET,28,September 10,A,0,0,0,0
1937,1,Sun,GB,7,UNK,14,September 12,A,0,0,0,0
1937,1,Thu,WAS,13,NYG,3,September 16,H,221,311,2,2
1937,1,Sun,GB,2,CHI,14,September 19,A,0,0,0,0
1937,2,Sun,UNK,0,UNK,21,September 19,A,92,302,5,2
1937,2,Sun,DET,16,UNK,7,September 19,H,0,0,0,0
1937,3,Tue,PHI,3,UNK,21,September 21,A,0,0,0,0
1937,3,Fri,WAS,14,UNK,21,September 24,A,0,0,0,0
1937,2,Sun,UNK,7,NYG,10,September 26,A,117,191,9,1
1937,3,Sun,UNK,9,UNK,7,September 26,H,199,128,4,2
1937,4,Sun,PHI,6,UNK,6,September 26,T,0,0,0,0
1937,3,Sun,PHI,7,NYG,16,October 3,A,112,326,1,1
1937,3,Sun,GB,26,DET,6,October 3,H,0,0,0,0
1937,4,Sun,WAS,11,UNK,7,October 3,H,279,132,2,2
1937,5,Sun,UNK,0,UNK,6,October 3,A,0,0,0,0
1937,2,Mon,UNK,0,CHI,7,October 4,A,0,0,0,0
1937,3,Sun,UNK,2,CHI,20,October 10,A,0,0,0,0
1937,4,Sun,DET,7,UNK,3,October 10,H,0,0,0,0
1937,6,Sun,WAS,0,PHI,14,October 10,A,0,0,0,0
1937,6,Sun,GB,34,UNK,13,October 10,H,0,0,0,0
1937,4,Sun,NYG,21,PHI,0,October 17,H,258,103,4,4
1937,4,Sun,CHI,16,UNK,7,October 17,H,0,0,0,0
1937,5,Sun,UNK,10,GB,35,October 17,A,0,0,0,0
1937,5,Sun,DET,30,UNK,0,October 17,H,279,131,1,6
1937,6,Sun,WAS,34,UNK,20,October 17,H,0,0,0,0
1937,5,Sun,CHI,28,DET,20,October 24,H,0,0,0,0
1937,6,Sun,NYG,21,UNK,0,October 24,H,365,164,2,4
1937,6,Sun,GB,35,UNK,7,October 24,H,0,0,0,0
1937,8,Sun,UNK,7,UNK,13,October 24,A,0,0,0,0
1937,8,Sun,PHI,7,WAS,10,October 24,A,0,0,0,0
1937,6,Sun,NYG,3,CHI,3,October 31,T,90,233,1,4
1937,7,Sun,DET,13,GB,14,October 31,A,0,0,0,0
1937,7,Sun,UNK,0,WAS,21,October 31,A,75,214,5,5
1937,9,Sun,UNK,16,PHI,7,October 31,H,0,0,0,0
1937,9,Sun,UNK,13,UNK,7,October 31,H,0,0,0,0
1937,7,Sun,CHI,14,GB,24,November 7,A,0,0,0,0
1937,7,Sun,NYG,17,UNK,0,November 7,H,239,80,1,6
1937,8,Sun,UNK,10,PHI,14,November 7,A,265,244,4,1
1937,8,Sun,DET,27,UNK,7,November 7,H,0,0,0,0
1937,9,Sun,GB,37,PHI,7,November 14,H,0,0,0,0
1937,9,Sun,CHI,29,UNK,7,November 14,H,0,0,0,0
1937,9,Sun,NYG,0,DET,17,November 14,A,128,285,3,1
1937,10,Sun,UNK,21,WAS,13,November 14,H,0,0,0,0
1937,10,Sun,UNK,7,DET,16,November 21,A,0,0,0,0
1937,10,Sun,UNK,0,UNK,23,November 21,A,0,0,0,0
1937,10,Sun,UNK,7,WAS,16,November 21,A,0,0,0,0
1937,10,Sun,NYG,10,GB,0,November 21,H,172,143,3,7
1937,9,Thu,DET,0,CHI,13,November 25,A,0,0,0,0
1937,11,Thu,UNK,13,NYG,13,November 25,T,269,304,2,4
1937,10,Sun,CHI,15,UNK,7,November 28,H,0,0,0,0
1937,11,Sun,WAS,14,GB,6,November 28,H,0,0,0,0
1937,11,Sun,UNK,28,CHI,42,December 5,A,0,0,0,0
1937,11,Sun,NYG,14,WAS,49,December 5,A,230,392,4,3
1937,ConfChamp,,CHI,21,WAS,28,December 12,A,332,475,4,6
